PRICE,MARKET VALUE,DIVIDEND YIELD,PER,PRICE INDEX,12M FWD DIVIDEND YIELD (%),12 MONTH FORWARD EARN. YIELD,CURRENT EV / 12M FWD EBIT,CURRENT EV / 12M FWD EBITDA,CURRENT EV / 12M FWD SALES,12M FWD FREE CASH FLOW YLD (%),12M FWD NET DEBT / EBITDA,12M FWD NET DEBT / EV,12M FWD PE vs MARKET,12M FWD PE vs SECTOR,12M FWD PRICE/BOOK,ADJUSTMENTFACTOR,ADJUST COEFFICIENT,DIV PAY DATE,EX-DIVID DATE,DIV.PER SHR.,DIV RATE UNADJUST,DIVIDEND TAX IND,DIVIDEND TYPE,DIV RATE UNADJUST,EARNINGS PER SHR,#ERROR,HISTORICAL VOLATILITY 5 YEARS,MARKET VAL BY CO.,#ERROR,ASK PRICE,BID PRICE,PRICE HIGH,PRICE LOW,#ERROR,OPENING PRICE,RETURN IND AS PAID,TOT RETURN IND,TURNOVER BY VALUE,TURNOVER BY VOLUME,UNADJ. PRICE OPEN,UNADJUSTED PRICE,UNADJ. ASK PRICE,UNADJ. BID PRICE,UNADJ. PRICE HIGH,UNADJ. PRICE LOW,UNADJ. VOLUME,VOL WGHTD AV PRICE,BK VAL PS 12M FWD,EV 12M FWD,NET INCOME 12M FWD,PRETAX PRF 12M FWD,ROE 12M FWD,SALES 12M FWD,TURNOVER BY VOLUME,#ERROR,#ERROR,PRICE/EBG2 RATIO,PRICE/EBG1 RATIO,P/CSH FLOW RATIO,PRICE TO BOOK VAL,, (#S), (#T),NUMBER OF SHARES,MARKET VALUE,PRICE INDEX,FREE FLOAT NOSH,#ERROR,TOTAL INTANGIBLE OT ASSETS-NET,TOTAL INVENTORIES,CURRENT ASSETSTOTAL,TOTAL INVENTORIES,CASH & SHORT TERM INVESTMENTS,PLASTICRECEIVABLES(NET),#ERROR,PLASTICSHORT TERM DEBT & CURRENT PORT,PLASTICCURRENT LIABILITIES-TOTAL,PLASTICWORKING CAPITAL,PLASTICLONG TERM DEBT,PLASTICTOTAL DEBT,PLASTICDEFERRED TAXES,#ERROR,PLASTICCOMMON STOCK,PLASTICPREFERRED STOCK,PLASTICTOTAL CAPITAL,PLASTICFUNDS FROM OPERATIONS,PLASTICNET CASH FLOW-OPERATING ACTIVS,PLASTICAMORTIZATION-INTANGIBLE ASSETS,#ERROR,PLASTICCOMMON DIVIDENDS (CASH),PLASTICCASH DIVIDENDS PAIDTOTAL,PLASTICNET PROCEEDS FROM SALE/ISSUE C,PLASTICNET CASH FLOWFINANCING,PLASTICINCREASE/DECREASE IN CASH/SHOR,PLASTICNET SALES OR REVENUES,#ERROR,"PLASTICSELLING, GENERAL & ADMINISTRAT",PLASTICDEPRECIATION/DEPLETION/AMORT,PLASTICAMORTIZATION OF INTANGIBLES,PLASTICAMORTIZATION OF DEFERRED CHARG,PLASTICOPERATING INCOME,PLASTICINTEREST EXPENSE ON DEBT,#ERROR,#ERROR,PLASTICSALARIES & BENEFITS EXPENSES,PLASTICEXTRAORDINARY CREDITPRETAX,PLASTICEXTRAORDINARY CHARGEPRETAX,PLASTICPRETAX INCOME,PLASTICINCOME TAXES,#ERROR,PLASTICNET INC BEFORE EXTRA/PFD DIVS,PLASTICPREFERRED DIVIDEND REQUIREMENT,PLASTICDIVIDENDS PROVIDED/PAID-COMMON,PLASTICEARNINGS BEF INTEREST & TAXES,PLASTICEBIT & DEPRECIATION,PLASTICNET INCOMEBASIC,#ERROR,PLASTICEMPLOYEES,PLASTICFY1 EPS MEAN EST,PLASTICFY2 EPS MEAN EST
,617810.7,6.55,9.5,925.6,6.351,9.067,22.776,13.655,1.853,5.351,0.888,0.084,0.88,0.93,1.595,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.1828,617810.7,,77.9,77.2,72.93,71.33,,71.33,2701.59,2701.59,334542,4336.3,76.2,77.9,77.9,77.2,77.9,76.2,4336.3,77.14,48.83,494395900,53079570,59024670,14.05,343227600,1000,11.3,10.6,NA,NA,9.72,1.64,1,77.9,77.9,7930818,1000000,9906.59,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,618603.8,6.54,9.6,926.8,6.351,9.067,22.805,13.672,1.856,5.344,0.888,0.084,0.88,0.93,1.597,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.1829,618603.8,,78,77.9,73.02,71.71,,72.55,2705.06,2705.06,534353,6900,77.5,78,78,77.9,78,76.6,6900,77.41,48.83,494395900,53079570,59024670,14.05,343227600,1000,11.3,10.6,NA,NA,9.73,1.65,1,78,78,7930818,1000000,9889.81,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,614638.4,6.58,9.5,920.9,6.351,9.067,22.663,13.587,1.844,5.378,0.888,0.084,0.88,0.93,1.587,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.1829,614638.4,,77.5,77.4,73.02,72.27,,73.02,2687.72,2687.72,376938,4867.5,78,77.5,77.5,77.4,78,77.2,4867.5,77.45,48.83,494395900,53079570,59024670,14.05,343227600,1000,11.2,10.6,NA,NA,9.67,1.64,1,77.5,77.5,7930818,1000000,9824.95,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,613845.3,6.59,9.5,919.7,6.351,9.067,22.634,13.569,1.842,5.385,0.888,0.084,0.88,0.93,1.585,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.183,613845.3,,77.4,77.1,72.55,71.8,,71.99,2684.25,2684.25,507507,6580.1,76.9,77.4,77.4,77.1,77.5,76.7,6580.1,77.13,48.83,494395900,53079570,59024670,14.05,343227600,1000,11.2,10.5,NA,NA,9.65,1.63,1,77.4,77.4,7930818,1000000,9908.35,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,613052.3,6.6,9.5,918.5,6.351,9.067,22.606,13.552,1.84,5.392,0.888,0.084,0.88,0.93,1.583,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.183,613052.3,,77.3,77.1,72.93,72.08,,72.93,2680.78,2680.78,490759,6347.1,77.9,77.3,77.3,77.1,77.9,77,6347.1,77.32,48.83,494395900,53079570,59024670,14.05,343227600,1000,11.2,10.5,NA,NA,9.64,1.63,1,77.3,77.3,7930818,1000000,9945.31,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,607500.7,6.66,9.4,910.2,6.351,9.067,22.407,13.433,1.823,5.442,0.888,0.084,0.88,0.93,1.569,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.1831,607500.7,,76.8,76.6,72.27,71.71,,72.08,2656.5,2656.5,300667,3917.9,77,76.6,76.8,76.6,77.2,76.6,3917.9,76.74,48.83,494395900,53079570,59024670,14.05,343227600,1000,11.1,10.4,NA,NA,9.55,1.62,1,76.6,76.6,7930818,1000000,9830.01,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,613052.3,6.6,9.2,918.5,6.351,9.067,22.606,13.552,1.84,5.392,0.888,0.084,0.88,0.93,1.583,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.37,,0.1831,613052.3,,77.3,77.2,72.74,71.61,,71.61,2680.78,2680.78,186182,2408.9,76.5,77.3,77.3,77.2,77.7,76.5,2408.9,77.29,48.83,494395900,53079570,59024670,14.05,343227600,1000,11.2,10.5,NA,NA,9.64,1.63,1,77.3,77.3,7930818,1000000,9831.21,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,608293.7,6.65,9.2,911.3,6.351,9.067,22.435,13.45,1.826,5.435,0.888,0.084,0.88,0.93,1.571,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.37,,0.1831,608293.7,,76.8,76.7,72.27,71.52,,71.61,2659.97,2659.97,219604,2863.3,76.5,76.7,76.8,76.7,77.2,76.4,2863.3,76.69,48.83,494395900,53079570,59024670,14.05,343227600,1000,11.1,10.4,NA,NA,9.57,1.62,1,76.7,76.7,7930818,1000000,9775.84,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,610673,6.62,9.2,914.9,6.351,9.067,22.521,13.501,1.833,5.413,0.888,0.084,0.88,0.93,1.577,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.37,,0.1831,610673,,77,76.8,72.08,71.61,,71.61,2670.38,2670.38,128948,1678.9,76.5,77,77,76.8,77,76.5,1678.9,76.8,48.83,494395900,53079570,59024670,14.05,343227600,1000,11.1,10.5,NA,NA,9.6,1.63,1,77,77,7930818,1000000,9791.88,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,614638.4,6.58,9.3,920.9,6.244,8.566,23.428,13.783,1.84,4.594,0.913,0.084,0.93,0.99,1.586,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.37,,0.183,614638.4,,77.5,77.4,72.64,71.9,,72.36,2687.72,2687.72,284289,3675.1,77.3,77.5,77.5,77.4,77.6,76.8,3675.1,77.36,48.86,496568800,52013500,57610610,13.66,344109300,1000,11.9,10.6,NA,NA,9.67,1.64,1,77.5,77.5,7930818,1000000,9826.46,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.5
