A,B,C,D,E
48.45,10.35,28.79,22.09,63.47
47.99,10.25,28.57,22.02,63.25
47.13,9.94,28.24,21.66,61.9
46.93,10.11,28.57,21.11,60.85
47.86,10.18,28.35,21.22,60.77
47,10.14,28.35,21.26,61.45
46.47,10.01,28.13,21.18,63.47
46.34,10.01,28.24,21.26,63.4
46.34,10.25,28.57,21.84,64.9
46.01,10.08,28.57,22.2,63.92
46.14,9.97,28.9,21.98,64.9
45.61,10.21,29.12,22.57,68.65
45.35,10.14,28.79,22.17,70.07
44.89,10.28,28.9,22.42,70.07
44.82,10.28,29.12,22.2,70.15
45.81,10.45,29.45,22.27,69.4
45.88,10.96,30,21.98,68.65
46.01,11.17,30.66,21.84,71.28
46.67,11.17,30.77,22.09,76.15
46.8,11.06,30.88,22.38,76.53
46.67,10.96,30.99,22.42,76.53
47.06,11.37,30.76,21.87,81.78
46.73,11.1,31.99,21.91,81.4
46.34,11.03,32.43,22.57,83.28
46.47,10.93,31.65,22.31,79.9
47.46,11.06,31.76,22.57,79.53
47.13,11.17,31.54,22.86,79.53
47.13,11.37,31.76,22.57,80.65
46.87,11.2,31.43,22.24,75.78
47.2,11.2,31.65,22.31,77.65
47,11.13,31.54,22.17,78.03
47.2,11.1,32.65,22.27,83.28
47.13,11.06,31.99,22.24,80.65
47.53,11.06,31.99,22.06,82.15
47.46,11.03,32.54,22.09,81.4
47.39,10.93,31.88,21.95,78.03
47.33,11,31.76,22.06,78.4
47.99,11.1,31.88,22.06,81.03
47.92,11.03,32.1,22.09,80.28
47.79,11.03,32.32,21.98,83.65
47.2,10.59,31.43,21.87,81.78
47.46,10.83,31.54,21.77,79.53
47.06,10.83,30.99,21.47,79.9
47.2,11.03,30.88,21.11,81.78
47.86,11.34,31.65,21.18,87.41
47.92,11.34,31.54,21.36,87.78
47.92,11.3,31.54,21.33,86.28
48.12,11.37,31.65,21.22,87.03
48.38,11.74,32.21,20.96,87.41
49.38,12.12,32.99,21,86.28
51.49,12.29,33.1,21.66,88.16
51.49,12.02,33.99,21.18,87.78
51.09,11.91,33.54,20.78,89.66
51.49,11.85,33.65,20.82,88.53
51.95,11.85,34.87,20.89,87.78
52.08,11.85,34.32,21.22,89.66
52.15,12.26,33.76,21.04,88.91
53.14,12.32,33.87,21.07,90.41
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
56.83,11.98,33.54,20.53,88.91
55.91,11.57,32.76,20.09,87.78
53.73,11.34,32.87,19.65,86.28
52.61,11.03,33.21,19.14,83.65
53.6,11.17,34.21,19.36,86.28
55.25,11.03,34.1,19.29,88.16
55.78,11.1,34.32,19.58,86.28
56.64,11,32.43,19.8,87.03
57.56,11.17,32.43,19.73,91.53
57.56,11.1,32.99,19.4,92.28
57.56,10.83,32.32,19.04,92.66
55.91,10.49,32.32,18.78,87.41
56.31,10.55,32.54,19.07,90.78
56.57,10.49,32.65,19.58,93.03
#N/A,#N/A,#N/A,#N/A,#N/A
55.91,10.76,33.21,19.65,99.41
53.14,10.52,32.87,19.29,102.04
55.58,10.69,33.43,19.73,102.79
56.31,10.83,33.32,19.84,104.66
55.18,10.62,33.32,19.44,102.79
55.25,10.55,32.99,19.69,102.04
54.92,10.31,32.43,19.69,101.66
53.47,10.01,31.21,19.44,98.66
53.47,10.11,30.88,19.29,99.04
54.46,9.94,32.21,18.78,99.04
53.6,9.74,31.1,17.73,92.28
55.38,9.6,31.54,17.91,96.03
55.78,9.84,30.76,18.2,93.78
56.04,9.94,31.1,18.56,94.91
56.31,10.08,31.43,18.27,97.91
55.98,10.01,31.76,18.2,97.91
56.11,10.11,31.76,18.05,98.66
55.45,10.21,31.76,18.13,97.53
55.18,10.28,31.65,18.16,96.41
55.78,10.25,31.65,17.94,94.91
56.31,10.31,31.99,17.94,97.91
56.7,10.31,32.1,17.83,104.66
57.23,10.42,31.88,18.71,109.16
57.43,10.31,31.32,18.23,108.04
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
58.09,10.45,33.43,18.67,113.67
58.15,10.55,34.43,18.63,115.92
58.09,10.62,34.65,18.93,117.79
58.29,10.52,34.65,18.78,117.04
57.03,10.45,34.65,18.38,111.04
57.03,10.42,34.76,18.56,114.42
57.23,10.31,34.65,18.42,120.79
56.97,10.14,34.54,18.23,118.54
56.77,10.04,34.54,17.91,125.29
56.11,10.14,34.54,18.05,123.79
57.76,10.28,34.1,18.2,132.42
58.35,10.42,34.43,17.94,131.3
58.22,10.35,34.43,18.02,131.3
56.97,10.25,34.32,18.05,130.92
57.43,10.38,34.43,18.13,130.17
58.02,10.42,34.43,18.09,133.17
58.15,10.28,34.43,17.58,135.05
57.96,10.11,34.43,16.71,135.05
#N/A,#N/A,#N/A,#N/A,#N/A
56.83,10.18,34.43,16.89,130.17
56.11,10.18,34.54,16.74,139.17
56.11,10.21,34.54,16.78,141.05
55.38,10.21,34.54,17,144.8
54.79,10.35,34.65,17.36,141.8
55.98,10.28,34.65,17.4,139.55
55.65,10.25,34.65,17.03,137.67
55.45,10.14,34.65,16.67,135.05
54.79,10.18,34.65,16.63,129.8
54.72,10.18,34.54,16.09,129.8
54.79,10.11,34.65,15.65,132.8
55.65,9.94,34.76,16.23,131.3
55.12,10.04,34.65,15.8,129.42
54.13,9.94,34.43,16.09,133.92
53.47,9.87,34.43,15.72,134.67
53.2,9.84,34.43,16.34,130.17
54.59,9.91,34.54,16.85,130.17
54.52,9.91,34.54,16.92,137.3
54,9.77,34.65,16.74,137.3
51.03,10.01,34.65,16.74,136.92
52.61,10.08,34.76,17.14,140.3
53.86,10.25,34.65,17.14,149.3
53.6,10.25,34.76,16.89,140.3
53.27,10.21,34.87,17.03,143.3
#N/A,#N/A,#N/A,#N/A,#N/A
51.82,10.11,34.76,16.82,145.18
52.74,10.21,34.98,16.52,147.8
53.2,10.18,34.87,16.41,146.68
53.2,10.14,34.87,16.23,139.92
52.54,9.97,34.98,16.23,138.8
52.87,10.04,32.76,16.34,141.05
52.41,10.08,32.99,16.31,137.67
52.08,9.8,32.76,15.72,129.05
52.15,9.74,33.32,14.92,125.67
51.62,9.67,30.99,14.16,129.05
50.5,9.74,30.88,14.49,134.3
49.51,9.74,30.43,14.7,141.05
49.9,9.67,28.32,14.19,136.92
48.52,9.57,26.43,14.38,138.42
48.38,9.5,27.21,14.12,138.8
47.59,9.53,27.1,14.09,136.17
48.85,9.7,28.54,14.09,136.92
50.56,9.7,28.99,14.27,135.8
50.83,9.7,28.43,14.23,142.93
51.69,9.77,27.99,14.01,144.05
52.48,9.7,27.54,13.28,147.8
52.81,9.74,28.1,13.47,156.81
52.61,9.77,28.32,13.69,153.8
52.87,9.7,28.21,13.73,160.93
52.61,9.57,27.99,13.39,156.06
51.55,9.46,26.99,12.87,149.3
53.94,9.46,26.77,12.91,153.8
55.35,9.36,24.99,12.83,150.43
55.77,9.46,23.55,13.13,153.8
56.19,9.43,23.77,12.65,157.56
55.63,9.43,24.99,12.87,168.43
56.4,9.6,24.99,13.09,175.19
56.89,9.84,24.77,13.13,175.94
57.31,9.88,24.88,13.24,174.06
57.38,9.74,24.43,12.98,174.44
57.66,9.81,24.66,13.17,186.44
56.19,9.66,25.21,13.21,199.2
56.19,9.63,24.88,12.43,198.07
