A,B,C,D,E
37.25,8.59,19.63,9.08,113.69
37.47,8.51,19.63,8.89,116.06
37.55,8.63,19.92,9.19,117.64
37.69,8.55,19.65,9.67,116.45
37.25,8.51,19.94,10.01,119.22
37.25,8.9,20.01,9.75,119.22
37.55,8.97,20.03,9.52,114.48
37.91,8.94,20.01,9.9,113.69
38.13,8.78,20.01,9.78,114.08
38.2,8.74,19.92,9.52,111.72
39.23,8.86,19.98,9.71,115.27
41.12,9.21,20.34,10.38,115.66
40.47,8.97,20.66,10.16,112.51
40.83,8.86,20.52,10.38,109.74
40.91,8.94,20.5,10.3,107.77
40.91,8.82,20.39,10.45,110.53
39.74,8.97,20.39,10.53,110.53
39.88,8.94,20.3,9.9,111.32
39.96,8.82,20.48,9.3,111.72
40.76,8.9,20.66,9.75,113.3
40.83,8.94,20.75,9.6,112.11
40.83,8.97,20.73,9.71,113.69
40.91,8.97,20.7,9.67,113.69
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
41.34,9.05,20.61,10.19,115.66
43.1,9.47,20.66,10.23,116.45
43.83,9.51,20.77,10.23,117.64
43.02,9.36,20.66,9.71,114.48
42.73,9.28,20.3,9.82,113.69
42.15,9.09,20.28,9.6,115.27
43.02,9.05,19.72,9.45,109.35
43.32,9.09,20.07,9.26,110.14
43.39,9.05,19.85,9.37,105.01
43.39,8.94,19.69,9.08,101.45
42.73,8.82,19.63,8.7,101.45
42.95,8.59,19.63,8.67,99.48
43.39,8.82,19.72,8.56,101.85
42.95,8.78,19.69,8.7,103.03
43.1,8.82,19.76,8.67,103.03
43.32,8.78,19.69,8.78,101.45
43.02,8.74,19.51,8.85,99.87
42.44,8.63,19.51,8.93,100.27
42.37,8.71,19.54,8.74,101.06
42.8,8.86,19.81,9.08,105.01
43.39,8.94,19.74,8.85,103.82
43.83,8.82,19.49,8.97,104.22
43.54,8.9,19.63,8.74,104.22
43.83,8.94,19.81,8.59,103.82
43.32,8.74,19.94,8.26,104.61
42.95,8.71,20.21,8.41,106.19
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
42.37,8.55,20.21,8.97,105.79
42.66,8.71,20.41,9.56,106.98
43.83,8.63,20.48,9.49,110.53
43.75,8.55,20.34,9.52,108.16
43.39,8.59,20.43,9.67,108.95
42.73,8.63,20.5,9.78,107.77
42.66,8.51,20.3,9.6,106.19
41.56,8.51,20.25,9.6,105.79
#N/A,#N/A,#N/A,#N/A,#N/A
42,8.48,20.32,9.71,106.58
40.39,8.36,20.1,9.45,106.19
39.96,8.51,20.05,9.93,105.4
40.91,8.59,20.05,9.75,101.06
40.83,8.51,20.12,9.78,101.85
41.12,8.48,20.23,9.9,101.06
42.15,8.51,20.57,10.38,99.87
42.44,8.59,20.66,10.12,103.43
40.98,8.51,20.82,9.9,102.64
39.88,8.9,20.86,9.71,103.43
38.35,8.9,21.29,9.45,103.43
38.71,8.59,20.88,9.41,101.45
38.42,8.59,20.86,9.49,101.45
38.13,8.55,21.2,9.49,102.24
38.2,8.51,21.4,9.41,100.66
37.76,8.51,21.35,9.3,101.06
37.98,8.55,21.31,9.78,101.45
37.62,8.63,21.33,9.78,102.24
38.5,8.55,21.44,9.97,103.82
38.42,8.51,21.56,9.67,105.79
39.15,8.59,21.65,9.82,107.37
38.64,8.55,21.4,9.67,110.53
39.23,8.63,21.29,9.75,110.93
38.57,8.67,21.09,9.82,113.69
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
37.69,8.48,20.82,9.56,115.27
37.62,8.51,20.82,9.52,112.9
37.25,8.44,20.91,9.71,114.08
38.28,8.59,21,9.86,116.06
38.57,8.48,21.09,9.78,112.9
39.23,8.48,20.7,9.56,113.69
39.52,8.63,20.91,9.6,116.45
39.52,8.59,20.91,9.6,116.06
38.79,8.51,20.97,9.78,117.64
39.15,8.71,21.04,9.78,118.03
40.03,8.59,21.02,9.64,115.66
40.69,8.59,20.93,9.67,112.9
42.66,8.74,21.09,10.01,114.48
43.39,8.67,20.84,9.93,115.66
43.54,8.59,20.86,9.82,113.69
43.68,8.51,21,10.16,115.27
42.95,8.63,20.97,10.08,118.03
#N/A,#N/A,#N/A,#N/A,#N/A
43.54,8.59,21.02,10.12,119.22
43.61,8.74,21.09,10.16,119.22
43.46,9.05,22.45,10.16,126.32
44.92,8.9,23.58,10.01,120.8
46.75,9.28,23.13,10.23,123.56
46.16,9.13,23.24,10.01,123.95
45.36,9.67,23.35,9.86,126.32
44.48,10.01,23.13,9.93,126.72
45.8,9.93,23.13,9.93,124.35
45.8,9.97,23.47,10.16,125.53
47.41,10.24,23.58,10.19,127.51
47.19,10.09,23.47,10.04,128.69
46.75,10.32,23.24,10.04,127.9
46.75,10.82,23.13,10.19,127.9
46.75,10.66,23.24,10.42,125.53
45.65,10.28,22.9,10.12,123.56
45.65,10.16,22.79,10.16,125.14
46.38,10.62,23.02,10.34,127.11
45.65,10.43,22.9,10.27,127.11
46.68,10.47,23.02,10.42,130.27
45.36,10.36,23.02,10.12,130.27
44.7,10.13,23.02,10.27,133.43
44.19,10.28,23.47,10.04,129.88
44.05,10.66,23.13,9.82,127.51
43.46,10.51,22.9,9.41,124.74
42.73,10.32,22.79,9.52,125.53
43.46,10.2,22.79,9.15,121.98
44.56,10.47,22.9,9.41,123.95
44.12,10.36,22.9,9.56,122.77
#N/A,#N/A,#N/A,#N/A,#N/A
42.88,10.05,22.43,9.23,123.16
42.73,10.05,22.68,9.15,125.53
42.95,10.2,23.02,9.04,126.32
42.73,10.39,23.58,9.11,128.3
44.19,10.24,22.9,9.04,127.11
43.02,9.97,22.57,8.48,124.35
42,9.63,22.45,8.11,121.59
42.88,9.82,22.68,7.66,120.01
42.73,9.74,22.45,7.51,113.69
42.73,10.39,22.68,7.59,120.4
43.32,11.08,22.68,7.96,121.59
46.16,11.12,22.79,8.11,123.16
44.34,11.54,23.02,8.3,126.32
43.24,11.28,22.79,8.11,122.37
42.44,11.16,22.68,7.77,117.64
42.44,11.24,22.68,7.74,114.48
43.32,11.35,22.68,7.92,120.01
42.15,11.12,22.37,7.7,115.66
43.39,11.24,22.32,7.81,114.87
43.1,10.96,22.3,7.92,115.66
44.92,11.44,22.34,8.07,116.85
45.29,11.24,22.37,8.07,118.03
46.75,11.36,22.32,8.18,116.85
46.6,11,22.32,8.33,117.24
47.19,10.53,22.37,8.11,117.64
48.21,10.53,22.57,7.74,114.48
48.21,10.06,22.57,7.77,106.58
47.77,10.25,22.37,7.92,107.37
48.21,10.65,22.37,8.04,107.37
48.65,10.65,22.32,7.92,106.98
48.5,10.57,22.34,7.92,108.95
47.11,10.81,22.32,7.96,108.95
46.6,10.45,22.32,7.96,107.37
47.48,10.65,22.57,8.15,109.35
46.02,10.53,22.57,7.89,102.64
45.29,10.49,22.57,8.41,107.37
46.68,10.37,22.68,8.18,106.98
46.6,10.53,22.45,8.3,109.74
46.02,10.29,22.43,8.11,113.69
45.08,10.06,22.45,7.96,111.32
44.63,9.82,22.57,7.96,112.9
43.97,9.7,22.41,7.85,112.9
43.97,9.74,22.37,7.96,114.48
44.48,9.86,22.32,8.07,116.06
44.04,9.7,22.41,8.07,116.45
43.37,9.5,22.39,8.26,115.27
43.74,9.43,22.19,8.44,115.66
43.22,9.35,22.23,8.33,116.06
42.78,9.31,22.12,8.33,113.3
#N/A,#N/A,#N/A,#N/A,#N/A
41.74,9.27,21.98,8.48,115.27
42.04,9.66,22.07,8.67,114.48
42.11,9.7,22.28,8.7,112.9
41.82,9.62,22.25,8.56,111.72
41.96,9.5,22.19,8.48,113.3
43.15,9.46,22.19,8.48,116.18
43.45,9.7,22.37,8.78,117.42
43,9.66,22.9,8.82,117
43.89,9.54,23.02,8.74,122.36
44.63,9.58,22.9,8.59,121.12
45.15,9.7,22.9,8.67,122.36
44.71,9.62,22.9,8.48,120.71
45.6,9.58,22.9,8.52,120.3
46.12,9.86,22.9,8.41,121.12
46.49,9.82,22.9,8.63,121.53
46.86,9.7,22.9,8.44,123.18
45.82,9.54,22.9,8.56,121.53
47.23,9.66,22.9,8.59,121.95
47.6,9.54,22.9,8.48,123.18
47.08,9.54,23.17,8.59,127.71
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
47.08,9.94,22.95,8.44,130.6
47,10.29,23.39,8.48,132.66
47.08,10.21,23.39,8.44,132.25
46.12,9.98,23.39,8.3,128.95
46.93,10.02,23.17,8.33,128.54
46.12,9.98,23.39,8.26,128.95
46.34,9.94,23.17,8.26,134.31
47.38,9.82,23.06,7.92,131.83
48.86,10.29,23.28,8.04,136.37
48.78,10.14,23.28,7.85,136.78
48.19,10.06,23.06,7.66,130.6
48.56,10.33,23.17,7.66,131.83
48.41,10.1,23.06,7.55,133.48
#N/A,#N/A,#N/A,#N/A,#N/A
48.64,9.94,23.39,7.48,136.78
48.27,9.7,23.39,7.14,133.48
48.49,10.06,23.39,7.44,133.48
48.34,9.82,23.17,7.36,132.66
48.64,9.98,23.06,7.51,135.13
48.78,10.21,23.17,7.63,135.95
48.78,10.25,23.17,7.48,139.25
48.93,10.17,22.95,7.43,140.49
48.64,10.1,22.73,7.33,138.84
49.38,10.06,22.84,7.34,143.37
49.08,9.9,22.5,7.22,139.25
49.15,9.98,22.5,7.28,140.07
49.53,9.98,22.28,7.44,140.07
49.6,10.33,22.39,7.37,141.72
49.67,9.82,22.26,7.24,140.9
48.93,9.82,21.97,7.14,141.72
47.82,9.74,21.43,7.01,148.73
46.71,9.74,21.14,7.11,147.08
47.3,9.7,20.83,6.77,147.9
47.52,9.82,21.17,6.84,149.14
46.78,9.74,20.92,6.73,145.84
46.63,9.58,22.28,6.51,148.31
47.89,9.54,22.04,6.42,149.14
46.71,9.46,21.88,6.44,147.49
46.78,9.46,22.61,6.75,146.67
47.67,9.5,22.39,6.58,146.25
48.12,9.5,22.5,6.38,147.9
48.41,9.5,22.61,6.28,148.31
47.97,9.46,22.61,6.36,147.08
46.71,9.39,22.39,6.37,142.96
47.15,9.43,22.28,6.32,142.55
47.38,9.46,22.15,6.5,143.78
47,9.5,22.5,6.81,143.78
47.45,9.58,22.39,6.73,143.37
47.89,9.78,22.73,6.87,145.43
48.04,9.7,22.73,6.87,148.31
48.49,9.7,22.84,6.83,148.73
48.19,9.62,22.95,6.85,148.73
49.38,9.58,23.39,6.7,149.14
49.6,9.54,23.39,6.72,149.55
49.3,9.54,23.39,6.75,159.03
50.71,9.62,23.28,6.79,158.61
51.01,9.66,23.39,6.8,162.32
51.6,9.66,23.39,6.7,162.32
50.64,9.58,23.39,6.7,158.2
51.53,9.62,23.39,6.79,155.73
51.08,9.5,23.28,6.71,154.08
50.79,9.5,23.62,6.67,155.73
50.42,9.5,23.62,6.68,160.67
51.01,9.54,23.73,6.67,159.44
50.42,9.66,23.51,6.67,153.26
50.27,9.74,23.73,6.79,157.79
50.27,9.66,23.62,6.79,157.79
50.79,9.62,23.39,6.91,153.26
51.01,9.62,23.62,6.93,154.49
51.53,9.7,23.62,6.93,156.97
51.53,9.78,23.84,6.98,161.09
51.08,9.74,23.95,7.08,159.44
#N/A,#N/A,#N/A,#N/A,#N/A
50.56,9.7,24.95,7.05,162.32
49.9,9.66,25.51,7.11,160.67
49.75,9.78,26.18,6.97,156.97
49.67,9.94,26.29,7.02,160.26
49.67,10.21,26.85,7.01,160.26
49.53,10.14,27.85,7.11,164.38
49.6,10.1,27.85,7.13,167.27
49.97,9.98,28.41,7.11,168.09
49.01,9.94,28.07,6.97,164.38
49.45,10.02,28.63,6.97,168.5
49.67,10.02,28.3,6.96,167.27
48.93,10.06,28.52,6.97,167.27
48.41,10.1,28.63,6.99,170.97
48.56,10.1,28.41,6.89,170.56
49.15,10.06,28.3,6.78,173.44
49.53,10.14,28.3,6.82,170.15
49.75,10.14,27.96,6.85,168.91
49.01,9.74,27.85,6.7,166.44
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
46.71,9.46,27.74,6.55,165.62
46.71,9.5,29.63,6.55,171.38
46.93,9.54,31.08,6.73,181.27
47.15,9.54,31.08,6.7,177.56
47.08,9.54,31.97,6.76,180.04
47.6,9.62,31.41,6.87,188.28
47.23,9.62,30.97,6.87,181.27
47.82,9.7,30.75,6.9,175.92
47.15,9.62,31.19,6.92,179.62
47.75,9.62,30.97,6.88,180.45
47.45,9.66,31.08,6.84,179.21
47.45,9.62,30.75,6.87,177.56
47.97,9.7,32.86,7.34,177.98
47.67,9.66,32.86,7.63,180.45
47.45,9.66,32.64,7.59,181.27
47.75,9.74,32.19,7.63,184.57
48.12,9.7,32.19,7.66,181.27
#N/A,#N/A,#N/A,#N/A,#N/A
47.6,9.86,32.19,7.55,183.33
47.52,9.78,31.86,7.48,181.27
47.67,9.82,32.42,7.51,179.62
47.45,10.02,32.64,7.59,182.1
47.75,9.98,31.75,7.55,184.16
47.89,9.86,31.19,7.36,184.16
48.19,10.06,31.64,7.39,182.92
47.75,10.17,30.75,7.41,181.27
47.38,10.29,29.74,7.41,181.27
46.34,10.17,31.75,7.48,177.98
47.15,10.21,31.19,7.92,178.39
47.6,10.29,31.08,7.81,181.27
47.52,10.14,31.19,7.77,181.27
47.3,9.98,31.41,7.55,177.56
47.23,9.86,31.41,7.59,175.92
47.67,9.98,31.19,7.7,180.45
47.75,10.02,31.41,7.77,182.1
47.3,10.17,31.08,8,183.74
48.04,10.17,30.64,7.85,182.92
48.04,10.17,30.75,7.89,181.68
47.82,10.14,31.08,8,181.68
47.52,10.25,31.19,8.18,183.74
47.75,10.17,31.08,8.33,186.63
47.75,10.29,31.3,8.78,188.69
#N/A,#N/A,#N/A,#N/A,#N/A
47.82,10.21,31.3,8.82,186.22
47.82,10.29,31.3,8.63,185.8
47.89,10.33,31.3,8.93,188.28
48.49,10.41,31.3,8.89,186.22
48.93,10.33,31.19,8.85,184.57
49.15,10.21,31.19,8.7,183.74
49.45,10.21,30.97,8.33,181.68
49.53,10.14,31.08,8.7,191.57
49.45,10.14,30.97,8.59,196.93
49.67,10.21,31.08,8.67,195.28
49.3,10.17,31.08,8.74,196.93
49.08,10.14,31.19,9.04,201.87
48.71,10.41,33.2,8.85,203.52
49.3,10.37,32.75,8.93,216.7
48.64,10.1,32.31,8.56,211.35
48.56,10.1,31.97,8.7,225.77
48.86,10.29,31.75,8.7,225.35
49.01,10.29,31.97,8.48,209.7
#N/A,#N/A,#N/A,#N/A,#N/A
48.93,10.37,33.64,8.7,211.76
48.56,10.21,33.2,8.7,222.47
47.97,10.29,33.2,8.63,220
47.82,10.25,33.98,8.7,215.47
48.64,10.57,35.43,8.59,213.41
48.86,10.45,37.88,8.41,213.82
48.27,10.33,39.66,8.11,211.35
48.41,10.33,39.32,8.26,215.06
48.71,10.53,40.44,8.41,215.88
48.71,10.45,39.88,8.33,215.06
48.56,10.45,39.44,8.26,216.7
48.27,10.49,41.44,8.33,220.82
48.12,10.49,39.88,8.37,219.59
48.64,10.41,39.77,8.33,217.53
49.15,10.53,39.88,8.44,222.47
49.01,10.53,39.77,8.59,230.71
49.08,10.57,39.66,8.48,231.53
49.38,10.77,39.66,8.48,228.65
49.75,11.16,39.66,8.56,228.65
50.19,10.88,40.1,8.56,228.24
49.97,11.08,39.32,8.52,220.82
#N/A,#N/A,#N/A,#N/A,#N/A
50.19,11.16,42,8.63,227.41
50.34,11.28,42.89,8.89,230.71
50.04,11.24,43.56,8.74,232.36
49.75,11.52,42.22,8.93,234.01
50.42,11.4,42.56,8.93,234.83
51.38,11.32,41.33,8.85,242.25
51.23,11.44,40.88,9.04,242.25
50.93,11.87,43.67,8.97,238.13
50.86,11.75,46.68,8.89,237.71
50.79,11.59,45.01,8.78,234.01
50.93,11.59,44.56,8.63,233.18
51.6,11.44,46.79,8.63,233.18
51.82,11.75,48.68,8.67,236.07
51.3,11.48,48.35,8.63,234.83
51.6,11.44,45.67,8.56,229.06
52.49,11.48,46.79,8.63,215.88
52.49,11.52,46.9,8.63,224.94
53.08,11.91,46.79,9.15,228.24
53.01,11.71,46.9,8.93,226.59
53.31,11.79,47.58,9.41,229.47
54.79,12.03,47.91,9.37,226.59
55.61,12.07,47.24,9.52,229.06
54.86,12.34,48.58,9.93,231.53
54.49,13.01,48.02,9.82,225.77
53.97,12.97,47.35,9.9,233.59
53.31,12.69,47.13,9.86,234.01
53.99,12.61,46.01,9.6,231.53
54.07,12.77,46.34,9.82,232.77
55.21,12.44,45,9.64,230.3
54.83,12.89,44.78,10.27,226.59
55.21,12.77,45.22,10.27,231.53
54.75,12.57,45.56,10.23,227.83
54.83,12.28,46.12,10.23,225.77
54.83,12.4,46.9,10.34,230.71
54.83,12.65,45.9,10.12,229.06
54.75,12.77,45.45,10.01,228.24
#N/A,#N/A,#N/A,#N/A,#N/A
54.91,12.73,45,10.46,232.77
54.45,12.4,45,10.46,225.77
54.6,12.08,44.78,10.46,215.47
54.83,11.92,44.22,10.01,205.58
54.6,12.12,45,10.38,210.94
53.38,11.43,45.45,10.27,204.34
52.62,11.02,44.89,10.38,211.76
51.33,11.06,46.57,10.35,215.88
50.79,10.74,45.78,10.16,208.46
52.77,10.86,45.22,9.78,214.64
52.77,10.82,45.22,9.97,209.29
52.24,10.66,45,10.08,215.47
53,10.78,46.12,10.46,223.29
53.23,10.61,45.45,10.31,235.24
54.07,10.7,48.58,10.46,236.48
53.76,10.82,50.6,10.46,238.54
53.76,10.74,51.38,10.53,238.13
53.31,10.66,49.93,10.46,233.59
54.22,10.74,53.4,10.5,241.42
54.07,10.78,53.51,10.5,241.01
53.84,10.74,53.06,10.27,243.07
54.83,10.98,53.28,10.31,243.48
54.83,10.94,52.84,10.31,244.31
54.83,11.02,53.17,10.35,247.6
55.06,11.06,56.87,11.02,253.37
54.98,11.1,55.41,11.21,252.96
53.69,11.1,55.97,11.17,249.66
54.3,11.18,54.85,11.17,253.78
53.99,10.9,54.96,10.76,246.37
54.07,10.94,55.3,10.87,255.43
53.84,10.9,55.08,10.83,253.78
53.69,10.82,55.97,10.91,250.07
#N/A,#N/A,#N/A,#N/A,#N/A
53.76,10.86,55.64,11.06,249.66
52.47,10.78,55.41,10.95,251.72
52.16,10.74,53.06,11.14,250.07
51.63,10.53,49.37,10.91,238.95
52.09,10.49,47.69,10.72,240.6
51.63,10.25,49.25,10.2,238.95
51.86,10.49,50.04,10.38,243.06
52.24,10.45,49.25,10.35,243.48
52.01,10.53,49.93,10.27,250.18
51.1,10.37,49.25,10.01,244.32
50.26,10.37,49.93,9.97,242.22
50.18,10.41,49.03,10.2,243.9
50.49,10.33,46.23,9.93,232.16
51.4,10.29,49.37,9.89,226.3
51.56,10.25,49.37,9.89,231.32
50.72,10.25,49.37,9.67,236.35
50.57,10.21,49.37,9.74,233.42
50.87,10.33,49.37,9.56,238.45
51.48,10.49,49.37,9.74,246.41
50.57,10.49,49.37,9.74,239.29
50.11,10.41,49.37,9.63,233.84
49.12,10.49,49.37,9.59,233
49.5,10.49,47.71,9.63,233
#N/A,#N/A,#N/A,#N/A,#N/A
48.51,10,44.69,9.07,222.52
48.51,10.21,45.38,9.18,227.13
46.3,10.09,42.96,9.07,216.24
45.84,10,42.81,8.88,217.5
44.63,9.8,41.17,8.73,204.92
45.01,10.05,42.21,8.77,213.72
45.16,10,42.81,8.99,212.05
46,10.13,44.09,9.59,213.72
46.07,10.17,44.14,9.78,214.56
45.92,10.05,43.1,9.52,209.11
46,10.05,42.56,9.71,205.34
46.68,10.13,42.61,9.93,219.59
47.14,10.29,44.84,10.31,222.94
47.67,10.74,44.79,10.5,218.33
47.9,10.9,46.67,10.83,214.56
48.28,10.86,45.68,10.8,218.75
48.28,10.86,46.13,11.14,222.11
47.29,10.9,45.68,11.02,217.91
47.52,10.82,44.84,10.72,218.75
46.91,10.78,45.09,11.21,220.43
48.59,11.06,44.59,11.02,217.08
48.13,11.06,45.48,10.53,209.95
46.83,10.94,45.48,10.72,200.31
47.44,10.98,45.18,10.57,201.57
47.29,11.1,45.38,10.72,203.67
46.68,10.86,44,10.53,207.02
47.14,10.74,44,10.38,209.95
47.14,10.94,43.9,10.76,207.44
47.9,11.43,44.39,11.02,210.37
48.36,11.43,45.38,10.99,214.14
48.81,11.31,46.82,10.91,212.47
48.28,11.39,46.57,10.99,211.63
48.81,11.27,47.76,10.8,220.43
49.12,11.35,48.06,10.99,220.01
49.35,11.18,51.03,10.99,219.59
48.05,11.1,49.54,11.06,221.27
47.82,11.02,49.3,10.76,216.24
48.97,11.31,49.54,11.44,217.91
49.8,11.71,49.05,11.47,217.91
50.18,11.59,48.55,11.4,223.36
49.65,11.59,47.56,11.1,218.75
49.04,11.59,47.17,11.1,213.72
48.28,11.27,46.77,10.61,209.95
47.6,11.27,47.07,10.8,209.95
47.21,11.22,47.76,10.87,212.05
45.77,11.67,47.07,10.68,209.53
46.22,11.35,48.26,10.83,198.64
45.08,11.06,47.41,10.91,196.12
45.69,11.35,47.61,10.87,191.09
45.77,11.59,47.61,10.76,195.29
46.91,11.75,47.66,11.36,202.83
47.52,12,48.16,11.4,201.15
49.27,12.08,49.2,12.19,201.99
48.97,11.96,49.05,12.19,202.83
49.35,12.04,49.45,12.45,202.83
49.8,11.96,50.04,12.41,203.67
49.19,11.79,50.44,12.26,207.02
49.88,12,50.54,12.19,206.6
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
48.66,12.4,49.1,13.02,209.11
47.06,12,47.22,12.94,203.67
46.53,12.04,47.22,13.32,206.6
48.13,12.12,47.76,14.22,212.47
48.89,12.28,48.11,13.92,213.72
48.59,12.81,47.81,13.81,212.05
49.5,12.65,47.96,13.73,214.14
49.04,12.4,48.36,13.77,212.05
48.97,12.24,50.34,13.66,217.5
47.9,11.96,49.54,13.39,215.82
48.59,12.24,49.1,13.92,217.08
49.42,12.36,49.4,13.99,223.78
49.8,12.32,49.64,13.02,228.81
49.96,12.57,50.04,13.17,228.81
50.18,12.69,50.63,13.13,236.35
50.11,12.61,54.1,13.54,233.84
49.96,12.57,57.67,13.43,233.42
49.96,12.73,56.18,13.69,238.03
50.03,12.49,57.47,13.88,232.16
48.36,12.53,56.38,13.02,233.42
50.11,12.57,58.26,12.53,233.42
51.17,12.73,58.66,12.94,241.38
52.16,12.73,59.95,12.72,242.64
52.16,12.81,59.95,12.79,238.87
52.09,12.73,59.06,12.94,233.84
52.01,12.73,59.16,12.98,235.1
51.78,12.53,57.97,12.64,238.03
50.79,12.81,57.27,12.75,238.03
50.41,12.73,57.97,12.83,241.38
51.86,12.69,57.97,13.09,245.15
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
52.77,12.89,58.96,12.49,245.99
52.93,13.05,59.16,12.49,244.32
51.94,13.01,59.06,12.45,240.54
#N/A,#N/A,#N/A,#N/A,#N/A
51.94,12.89,61.44,11.62,242.22
52.16,12.89,61.04,11.78,240.54
51.78,12.81,62.43,11.81,237.61
51.48,12.73,64.9,11.62,242.22
52.62,12.73,63.81,11.62,249.76
51.86,12.77,65.7,11.36,248.93
51.56,12.77,64.01,11.32,248.93
51.1,12.73,63.32,11.4,250.6
51.63,12.85,63.32,12.04,246.41
51.1,12.77,63.81,11.89,242.22
50.79,12.73,62.23,12.15,240.96
51.4,12.73,58.96,12.11,240.96
52.09,12.81,61.04,12.19,246.41
52.47,12.89,63.62,12.3,253.95
51.71,12.73,62.82,11.89,271.56
52.09,12.81,63.12,12.19,289.16
52.01,12.77,63.12,12.15,286.64
51.71,12.69,62.92,11.93,283.71
52.55,12.4,62.23,11.81,282.03
52.24,12.36,62.72,11.66,273.65
52.62,12.44,62.43,11.55,277.42
52.93,12.61,63.91,11.85,274.91
52.16,12.4,64.8,11.85,282.45
52.93,12.61,65.7,11.89,282.45
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
53.31,12.85,64.61,11.44,302.15
52.32,12.73,61.53,11.36,293.35
52.77,12.53,59.65,11.36,289.99
53.31,12.4,59.85,11.21,293.35
54.45,12.4,60.94,11.55,290.41
54.75,12.28,60.84,11.47,294.6
54.98,11.83,60.84,11.36,292.51
55.59,11.96,62.92,11.4,293.35
55.82,11.63,64.41,11.55,295.02
55.82,11.39,60.94,11.74,294.19
56.96,11.43,59.45,11.7,297.54
57.34,11.47,60.25,11.4,317.65
58.49,11.88,61.93,11.51,314.3
60.16,11.92,62.53,12,315.56
59.55,12.12,63.32,12,318.49
59.17,12.08,63.42,12.04,315.14
58.56,11.92,62.53,11.59,293.35
57.5,11.88,62.62,11.62,301.73
#N/A,#N/A,#N/A,#N/A,#N/A
58.26,11.63,63.02,11.62,293.35
58.49,11.63,63.91,11.62,295.86
58.41,11.67,62.33,11.47,293.35
56.51,11.43,62.62,11.62,286.64
57.34,11.27,63.62,11.44,284.13
56.89,11.39,61.53,11.51,295.02
57.95,11.18,61.83,11.4,291.67
57.27,11.35,61.44,11.62,296.28
55.82,11.18,60.84,11.44,290.83
55.29,11.18,59.45,11.51,287.06
55.97,11.06,58.36,11.55,284.97
56.43,11.35,58.26,12.15,296.7
55.21,11.31,59.35,12.11,293.35
55.29,11.22,59.26,12.19,288.32
55.97,11.31,59.35,12.49,295.86
55.67,11.22,56.98,12.57,302.99
55.67,11.31,54.5,12.57,305.08
56.12,11.35,56.78,12.87,303.82
55.13,11.47,57.08,12.75,305.08
55.29,11.31,57.67,12.68,301.73
54.83,11.18,57.37,12.15,299.21
55.67,11.14,56.08,12.26,294.19
55.74,11.22,55.09,12.23,298.38
54.68,10.94,54.9,11.89,285.8
54.53,10.86,53.51,11.74,289.99
55.44,10.74,52.22,11.74,289.99
54.6,10.61,49.74,10.91,291.67
55.21,10.78,48.8,11.29,305.5
54.83,10.66,49.5,11.1,304.24
54.6,10.66,48.55,10.95,301.73
54.14,10.74,53.41,10.83,303.4
54.14,10.57,52.72,10.91,300.89
53.31,10.53,52.02,11.02,300.89
52.93,10.57,52.02,10.91,297.96
#N/A,#N/A,#N/A,#N/A,#N/A
54.98,10.7,55.69,11.14,300.05
54.22,10.82,54.3,10.91,315.98
55.13,10.78,53.81,10.53,317.23
55.59,11.02,54,10.61,318.49
55.44,10.78,54.5,10.57,321.84
54.45,10.45,52.52,9.97,316.4
55.13,10.61,51.87,10.27,323.52
55.44,10.78,51.87,10.42,328.55
54.53,10.7,51.5,10.53,329.39
53.76,10.82,51.02,10.35,327.29
53.76,10.61,50.7,10.19,324.78
53.76,10.49,50.75,9.96,320.59
51.71,10.09,50.43,9.92,309.27
51.71,10.13,49.89,10.03,318.49
#N/A,#N/A,#N/A,#N/A,#N/A
52.42,10.21,49.78,9.96,319.33
53.76,10.34,49.41,9.96,310.95
54.55,10.38,49.73,9.96,314.3
53.6,10.38,49.62,9.72,314.3
53.76,10.21,49.73,9.41,318.49
52.97,10.17,49.84,8.94,322.68
53.52,10.25,50.27,9.06,315.98
52.57,9.78,51.02,8.82,300.89
