PRICE,MARKET VALUE,DIVIDEND YIELD,PER,PRICE INDEX,12M FWD DIVIDEND YIELD (%),12 MONTH FORWARD EARN. YIELD,CURRENT EV / 12M FWD EBIT,CURRENT EV / 12M FWD EBITDA,CURRENT EV / 12M FWD SALES,12M FWD FREE CASH FLOW YLD (%),12M FWD NET DEBT / EBITDA,12M FWD NET DEBT / EV,12M FWD PE vs MARKET,12M FWD PE vs SECTOR,12M FWD PRICE/BOOK,ADJUSTMENTFACTOR,ADJUST COEFFICIENT,DIV PAY DATE,EX-DIVID DATE,DIV.PER SHR.,DIV RATE UNADJUST,DIVIDEND TAX IND,DIVIDEND TYPE,DIV RATE UNADJUST,EARNINGS PER SHR,#ERROR,HISTORICAL VOLATILITY 5 YEARS,MARKET VAL BY CO.,#ERROR,ASK PRICE,BID PRICE,PRICE HIGH,PRICE LOW,#ERROR,OPENING PRICE,RETURN IND AS PAID,TOT RETURN IND,TURNOVER BY VALUE,TURNOVER BY VOLUME,UNADJ. PRICE OPEN,UNADJUSTED PRICE,UNADJ. ASK PRICE,UNADJ. BID PRICE,UNADJ. PRICE HIGH,UNADJ. PRICE LOW,UNADJ. VOLUME,VOL WGHTD AV PRICE,BK VAL PS 12M FWD,EV 12M FWD,NET INCOME 12M FWD,PRETAX PRF 12M FWD,ROE 12M FWD,SALES 12M FWD,TURNOVER BY VOLUME,#ERROR,#ERROR,PRICE/EBG2 RATIO,PRICE/EBG1 RATIO,P/CSH FLOW RATIO,PRICE TO BOOK VAL,, (#S), (#T),NUMBER OF SHARES,MARKET VALUE,PRICE INDEX,FREE FLOAT NOSH,#ERROR,TOTAL INTANGIBLE OT ASSETS-NET,TOTAL INVENTORIES,CURRENT ASSETSTOTAL,TOTAL INVENTORIES,CASH & SHORT TERM INVESTMENTS,PLASTICRECEIVABLES(NET),#ERROR,PLASTICSHORT TERM DEBT & CURRENT PORT,PLASTICCURRENT LIABILITIES-TOTAL,PLASTICWORKING CAPITAL,PLASTICLONG TERM DEBT,PLASTICTOTAL DEBT,PLASTICDEFERRED TAXES,#ERROR,PLASTICCOMMON STOCK,PLASTICPREFERRED STOCK,PLASTICTOTAL CAPITAL,PLASTICFUNDS FROM OPERATIONS,PLASTICNET CASH FLOW-OPERATING ACTIVS,PLASTICAMORTIZATION-INTANGIBLE ASSETS,#ERROR,PLASTICCOMMON DIVIDENDS (CASH),PLASTICCASH DIVIDENDS PAIDTOTAL,PLASTICNET PROCEEDS FROM SALE/ISSUE C,PLASTICNET CASH FLOWFINANCING,PLASTICINCREASE/DECREASE IN CASH/SHOR,PLASTICNET SALES OR REVENUES,#ERROR,"PLASTICSELLING, GENERAL & ADMINISTRAT",PLASTICDEPRECIATION/DEPLETION/AMORT,PLASTICAMORTIZATION OF INTANGIBLES,PLASTICAMORTIZATION OF DEFERRED CHARG,PLASTICOPERATING INCOME,PLASTICINTEREST EXPENSE ON DEBT,#ERROR,#ERROR,PLASTICSALARIES & BENEFITS EXPENSES,PLASTICEXTRAORDINARY CREDITPRETAX,PLASTICEXTRAORDINARY CHARGEPRETAX,PLASTICPRETAX INCOME,PLASTICINCOME TAXES,#ERROR,PLASTICNET INC BEFORE EXTRA/PFD DIVS,PLASTICPREFERRED DIVIDEND REQUIREMENT,PLASTICDIVIDENDS PROVIDED/PAID-COMMON,PLASTICEARNINGS BEF INTEREST & TAXES,PLASTICEBIT & DEPRECIATION,PLASTICNET INCOMEBASIC,#ERROR,PLASTICEMPLOYEES,PLASTICFY1 EPS MEAN EST,PLASTICFY2 EPS MEAN EST
58.64,559915.8,4.67,20.5,838.9,3.826,5.511,32.795,16.205,1.883,3.414,0.908,0.075,1.33,1.08,1.616,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2387,559915.8,,70.6,70.5,59.22,58.64,,58.89,2174.34,2174.34,273538,3864.2,70.9,70.6,70.6,70.5,71.3,70.6,3864.2,70.79,43.69,435895600,31354460,37447460,9.13,308688600,1000,,,NA,NA,12.95,1.65,1,70.6,70.6,7930818,1000000,9110.54,68,,2958086,35385614,217478209,35385614,103013833,74542216,,46443570,84918274,132559935,65223286,111666856,3611078,,79308216,0,416256752,43245020,46386609,1781572,,25133161,25133161,0,-27129710,5500191,275294431,,17151497,16047801,24143,0,13282862,1700440,,,32168898,NA,810120,53846991,5133968,,48840267,0,35688697,55420249,71468050,48840267,,NA,4.51,3.99
58.22,555950.4,4.71,20.3,832.9,3.826,5.511,32.572,16.095,1.87,3.438,0.908,0.075,1.33,1.08,1.604,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2386,555950.4,,70.1,70,58.97,58.22,,58.97,2158.94,2158.94,254151,3616.8,71,70.1,70.1,70,71,70.1,3616.8,70.27,43.69,435895600,31354460,37447460,9.13,308688600,1000,,,NA,NA,12.86,1.64,1,70.1,70.1,7930818,1000000,9109.27,68,,2958086,35385614,217478209,35385614,103013833,74542216,,46443570,84918274,132559935,65223286,111666856,3611078,,79308216,0,416256752,43245020,46386609,1781572,,25133161,25133161,0,-27129710,5500191,275294431,,17151497,16047801,24143,0,13282862,1700440,,,32168898,NA,810120,53846991,5133968,,48840267,0,35688697,55420249,71468050,48840267,,NA,4.51,3.99
58.97,563088.1,4.65,20.6,843.6,3.826,5.511,32.974,16.294,1.893,3.394,0.908,0.075,1.33,1.08,1.625,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2386,563088.1,,71,70.9,59.8,58.14,,58.14,2186.66,2186.66,397332,5587.1,70,71,71,70.9,72,70,5587.1,71.13,43.69,435895600,31354460,37447460,9.13,308688600,1000,,,NA,NA,13.02,1.66,1,71,71,7930818,1000000,9201.4,68,,2958086,35385614,217478209,35385614,103013833,74542216,,46443570,84918274,132559935,65223286,111666856,3611078,,79308216,0,416256752,43245020,46386609,1781572,,25133161,25133161,0,-27129710,5500191,275294431,,17151497,16047801,24143,0,13282862,1700440,,,32168898,NA,810120,53846991,5133968,,48840267,0,35688697,55420249,71468050,48840267,,NA,4.51,3.99
58.97,563088.1,4.65,20.6,843.6,3.826,5.511,32.974,16.294,1.893,3.394,0.908,0.075,1.33,1.08,1.625,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2386,563088.1,,71,70.9,59.3,58.72,,58.81,2186.66,2186.66,482576,6798.7,70.8,71,71,70.9,71.4,70.7,6798.7,70.98,43.69,435895600,31354460,37447460,9.13,308688600,1000,,,NA,NA,13.02,1.66,1,71,71,7930818,1000000,9153.09,68,,2958086,35385614,217478209,35385614,103013833,74542216,,46443570,84918274,132559935,65223286,111666856,3611078,,79308216,0,416256752,43245020,46386609,1781572,,25133161,25133161,0,-27129710,5500191,275294431,,17151497,16047801,24143,0,13282862,1700440,,,32168898,NA,810120,53846991,5133968,,48840267,0,35688697,55420249,71468050,48840267,,NA,4.51,3.99
59.14,564674.2,4.63,20.7,846,3.826,5.511,33.064,16.338,1.898,3.385,0.908,0.075,1.33,1.08,1.63,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2386,564674.2,,71.3,71.2,59.72,59.14,,59.72,2192.81,2192.81,397336,5557.3,71.9,71.2,71.3,71.2,71.9,71.2,5557.3,71.5,43.69,435895600,31354460,37447460,9.13,308688600,1000,,,NA,NA,13.06,1.67,1,71.2,71.2,7930818,1000000,9253.5,68,,2958086,35385614,217478209,35385614,103013833,74542216,,46443570,84918274,132559935,65223286,111666856,3611078,,79308216,0,416256752,43245020,46386609,1781572,,25133161,25133161,0,-27129710,5500191,275294431,,17151497,16047801,24143,0,13282862,1700440,,,32168898,NA,810120,53846991,5133968,,48840267,0,35688697,55420249,71468050,48840267,,NA,4.51,3.99
#N/A,564674.2,4.63,20.7,846,3.826,5.511,32.691,16.154,1.877,3.385,0.908,0.075,1.34,1.08,1.63,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2439,564674.2,,NA,NA,#N/A,#N/A,,#N/A,2192.81,2192.81,NA,NA,NA,#N/A,NA,NA,NA,NA,NA,NA,43.69,435895600,31354460,37447460,9.13,308688600,1000,NA,NA,NA,NA,9.52,1.59,1,NA,71.2,7930818,1000000,9253.5,68,,2737790,40731138,212066791,40731138,93351499,72637103,,37843224,79681194,132385597,58526271,96369495,4873379,,79308216,0,425746030,59294400,41140545,1999718,,35667630,35667630,0,-45707512,-13107426,306139952,,19141352,16461497,193144,0,29816836,1712782,,,32727462,95245,1023,62776174,8801398,,54521016,0,40447190,64403256,80864753,54521016,,,4.51,3.99
59.14,564674.2,4.63,20.7,846,3.826,5.511,32.691,16.154,1.877,3.385,0.908,0.075,1.34,1.08,1.63,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2438,564674.2,,71.3,71.2,59.47,58.81,,59.47,2192.81,2192.81,321323,4513,71.6,71.2,71.3,71.2,71.6,70.8,4513,71.2,43.69,435895600,31354460,37447460,9.13,308688600,1000,NA,NA,NA,NA,9.52,1.59,1,71.2,71.2,7930818,1000000,9272.88,68,,2737790,40731138,212066791,40731138,93351499,72637103,,37843224,79681194,132385597,58526271,96369495,4873379,,79308216,0,425746030,59294400,41140545,1999718,,35667630,35667630,0,-45707512,-13107426,306139952,,19141352,16461497,193144,0,29816836,1712782,,,32727462,95245,1023,62776174,8801398,,54521016,0,40447190,64403256,80864753,54521016,,,4.51,3.99
59.55,568639.6,4.6,20.8,851.9,3.826,5.511,32.914,16.264,1.889,3.361,0.908,0.075,1.34,1.08,1.641,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2437,568639.6,,71.7,71.6,59.64,58.72,,59.39,2208.21,2208.21,527746,7402.6,71.5,71.7,71.7,71.6,71.8,70.7,7402.6,71.29,43.69,435895600,31354460,37447460,9.13,308688600,1000,NA,NA,NA,NA,9.59,1.6,1,71.7,71.7,7930818,1000000,9286.96,68,,2737790,40731138,212066791,40731138,93351499,72637103,,37843224,79681194,132385597,58526271,96369495,4873379,,79308216,0,425746030,59294400,41140545,1999718,,35667630,35667630,0,-45707512,-13107426,306139952,,19141352,16461497,193144,0,29816836,1712782,,,32727462,95245,1023,62776174,8801398,,54521016,0,40447190,64403256,80864753,54521016,,,4.51,3.99
60.97,582122,4.5,21.3,872.1,3.826,5.511,33.675,16.64,1.933,3.283,0.908,0.075,1.34,1.08,1.68,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2436,582122,,73.4,73.3,61.13,59.47,,59.55,2260.57,2260.57,1054405,14448.1,71.7,73.4,73.4,73.3,73.6,71.6,14448.1,72.98,43.69,435895600,31354460,37447460,9.13,308688600,1000,NA,NA,NA,NA,9.82,1.64,1,73.4,73.4,7930818,1000000,9358.14,68,,2737790,40731138,212066791,40731138,93351499,72637103,,37843224,79681194,132385597,58526271,96369495,4873379,,79308216,0,425746030,59294400,41140545,1999718,,35667630,35667630,0,-45707512,-13107426,306139952,,19141352,16461497,193144,0,29816836,1712782,,,32727462,95245,1023,62776174,8801398,,54521016,0,40447190,64403256,80864753,54521016,,,4.51,3.99
60.97,582122,4.5,21.3,872.1,3.826,5.511,33.675,16.64,1.933,3.283,0.908,0.075,1.34,1.08,1.68,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2437,582122,,73.5,73.4,61.13,60.72,,60.88,2260.57,2260.57,626850,8533.1,73.3,73.4,73.5,73.4,73.6,73.1,8533.1,73.46,43.69,435895600,31354460,37447460,9.13,308688600,1000,NA,NA,NA,NA,9.82,1.64,1,73.4,73.4,7930818,1000000,9372.22,68,,2737790,40731138,212066791,40731138,93351499,72637103,,37843224,79681194,132385597,58526271,96369495,4873379,,79308216,0,425746030,59294400,41140545,1999718,,35667630,35667630,0,-45707512,-13107426,306139952,,19141352,16461497,193144,0,29816836,1712782,,,32727462,95245,1023,62776174,8801398,,54521016,0,40447190,64403256,80864753,54521016,,,4.51,3.99
