PRICE,MARKET VALUE,DIVIDEND YIELD,PER,PRICE INDEX,12M FWD DIVIDEND YIELD (%),12 MONTH FORWARD EARN. YIELD,CURRENT EV / 12M FWD EBIT,CURRENT EV / 12M FWD EBITDA,CURRENT EV / 12M FWD SALES,12M FWD FREE CASH FLOW YLD (%),12M FWD NET DEBT / EBITDA,12M FWD NET DEBT / EV,12M FWD PE vs MARKET,12M FWD PE vs SECTOR,12M FWD PRICE/BOOK,ADJUSTMENTFACTOR,ADJUST COEFFICIENT,DIV PAY DATE,EX-DIVID DATE,DIV.PER SHR.,DIV RATE UNADJUST,DIVIDEND TAX IND,DIVIDEND TYPE,DIV RATE UNADJUST,EARNINGS PER SHR,#ERROR,HISTORICAL VOLATILITY 5 YEARS,MARKET VAL BY CO.,#ERROR,ASK PRICE,BID PRICE,PRICE HIGH,PRICE LOW,#ERROR,OPENING PRICE,RETURN IND AS PAID,TOT RETURN IND,TURNOVER BY VALUE,TURNOVER BY VOLUME,UNADJ. PRICE OPEN,UNADJUSTED PRICE,UNADJ. ASK PRICE,UNADJ. BID PRICE,UNADJ. PRICE HIGH,UNADJ. PRICE LOW,UNADJ. VOLUME,VOL WGHTD AV PRICE,BK VAL PS 12M FWD,EV 12M FWD,NET INCOME 12M FWD,PRETAX PRF 12M FWD,ROE 12M FWD,SALES 12M FWD,TURNOVER BY VOLUME,#ERROR,#ERROR,PRICE/EBG2 RATIO,PRICE/EBG1 RATIO,P/CSH FLOW RATIO,PRICE TO BOOK VAL,, (#S), (#T),NUMBER OF SHARES,MARKET VALUE,PRICE INDEX,FREE FLOAT NOSH,#ERROR,TOTAL INTANGIBLE OT ASSETS-NET,TOTAL INVENTORIES,CURRENT ASSETSTOTAL,TOTAL INVENTORIES,CASH & SHORT TERM INVESTMENTS,PLASTICRECEIVABLES(NET),#ERROR,PLASTICSHORT TERM DEBT & CURRENT PORT,PLASTICCURRENT LIABILITIES-TOTAL,PLASTICWORKING CAPITAL,PLASTICLONG TERM DEBT,PLASTICTOTAL DEBT,PLASTICDEFERRED TAXES,#ERROR,PLASTICCOMMON STOCK,PLASTICPREFERRED STOCK,PLASTICTOTAL CAPITAL,PLASTICFUNDS FROM OPERATIONS,PLASTICNET CASH FLOW-OPERATING ACTIVS,PLASTICAMORTIZATION-INTANGIBLE ASSETS,#ERROR,PLASTICCOMMON DIVIDENDS (CASH),PLASTICCASH DIVIDENDS PAIDTOTAL,PLASTICNET PROCEEDS FROM SALE/ISSUE C,PLASTICNET CASH FLOWFINANCING,PLASTICINCREASE/DECREASE IN CASH/SHOR,PLASTICNET SALES OR REVENUES,#ERROR,"PLASTICSELLING, GENERAL & ADMINISTRAT",PLASTICDEPRECIATION/DEPLETION/AMORT,PLASTICAMORTIZATION OF INTANGIBLES,PLASTICAMORTIZATION OF DEFERRED CHARG,PLASTICOPERATING INCOME,PLASTICINTEREST EXPENSE ON DEBT,#ERROR,#ERROR,PLASTICSALARIES & BENEFITS EXPENSES,PLASTICEXTRAORDINARY CREDITPRETAX,PLASTICEXTRAORDINARY CHARGEPRETAX,PLASTICPRETAX INCOME,PLASTICINCOME TAXES,#ERROR,PLASTICNET INC BEFORE EXTRA/PFD DIVS,PLASTICPREFERRED DIVIDEND REQUIREMENT,PLASTICDIVIDENDS PROVIDED/PAID-COMMON,PLASTICEARNINGS BEF INTEREST & TAXES,PLASTICEBIT & DEPRECIATION,PLASTICNET INCOMEBASIC,#ERROR,PLASTICEMPLOYEES,PLASTICFY1 EPS MEAN EST,PLASTICFY2 EPS MEAN EST
42.73,526103.9,1.16,32.1,788.2,4.833,5.793,24.723,19.729,3.129,NA,2.162,0.107,1.23,1.03,2.052,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2923,526103.9,,66.34,66.04,66.34,65.15,,66.24,1591.5,1591.5,596666,9061.7,66.9,67,67,66.7,67,65.8,8972,NA,32.33,580402400,29966000,32222020,12.16,180704600,1000,,,NA,NA,8.31,1.86,1,66.34,66.34,7852298,1000000,8171.94,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,3.67,4.12
42.73,526103.9,1.16,32.1,788.2,4.833,5.793,24.723,19.729,3.129,NA,2.162,0.107,1.23,1.03,2.052,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2922,526103.9,,66.34,66.24,66.53,65.74,,66.24,1591.5,1591.5,488146,7363.9,66.9,67,67,66.9,67.2,66.4,7291,NA,32.33,580402400,29966000,32222020,12.16,180704600,1000,,,NA,NA,8.31,1.86,1,66.34,66.34,7852298,1000000,8111.57,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,3.67,4.12
40.69,500976.5,1.22,30.5,750.6,4.833,5.793,23.625,18.852,2.99,NA,2.162,0.107,1.23,1.03,1.954,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2921,500976.5,,63.27,63.17,65.64,63.17,,65.54,1515.49,1515.49,711424,11053.4,66.2,63.8,63.9,63.8,66.3,63.8,10944,NA,32.33,580402400,29966000,32222020,12.16,180704600,1000,,,NA,NA,7.91,1.77,1,63.17,63.17,7852298,1000000,7854.22,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,3.67,4.12
40.94,504117.4,1.21,30.7,755.3,4.833,5.793,23.762,18.962,3.007,NA,2.162,0.107,1.23,1.03,1.966,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.292,504117.4,,63.66,63.56,64.26,62.87,,63.47,1524.99,1524.99,518671,8189.1,64.1,64.2,64.3,64.2,64.9,63.5,8108,NA,32.33,580402400,29966000,32222020,12.16,180704600,1000,,,NA,NA,7.96,1.78,1,63.56,63.56,7852298,1000000,7900.42,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,3.67,4.12
41.39,509614.1,1.2,31.1,763.5,4.833,5.793,24.002,19.153,3.037,NA,2.162,0.107,1.23,1.03,1.988,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2918,509614.1,,64.36,64.26,64.55,63.37,,63.56,1541.62,1541.62,518587,8104.2,64.2,64.9,65,64.9,65.2,64,8024,NA,32.33,580402400,29966000,32222020,12.16,180704600,1000,,,NA,NA,8.05,1.8,1,64.26,64.26,7852298,1000000,7990.53,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,3.67,4.12
40.94,504117.4,1.21,30.7,755.3,4.833,5.793,23.762,18.962,3.007,NA,2.162,0.107,1.23,1.03,1.966,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2916,504117.4,,63.66,63.56,63.96,62.67,,62.97,1524.99,1524.99,508115,8050.7,63.6,64.2,64.3,64.2,64.6,63.3,7971,NA,32.33,580402400,29966000,32222020,12.16,180704600,1000,,,NA,NA,7.96,1.78,1,63.56,63.56,7852298,1000000,7978.69,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,3.67,4.12
40.69,500976.5,1.22,30.5,750.6,4.833,5.793,23.625,18.852,2.99,NA,2.162,0.107,1.23,1.03,1.954,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2915,500976.5,,63.27,63.17,63.76,62.97,,63.76,1515.49,1515.49,316797,5012.6,64.4,63.8,63.9,63.8,64.4,63.6,4963,NA,32.33,580402400,29966000,32222020,12.16,180704600,1000,,,NA,NA,7.91,1.77,1,63.17,63.17,7852298,1000000,8004.89,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,3.67,4.12
42.73,526103.9,1.16,32.1,788.2,4.833,5.793,24.723,19.729,3.129,NA,2.162,0.107,1.23,1.03,2.052,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2913,526103.9,,66.34,66.24,66.34,63.56,,63.56,1591.5,1591.5,1096761,16760.9,64.2,67,67,66.9,67,64.2,16595,NA,32.33,580402400,29966000,32222020,12.16,180704600,1000,,,NA,NA,8.31,1.86,1,66.34,66.34,7852298,1000000,8158.14,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,3.67,4.12
42.85,527674.4,1.16,18.3,790.6,4.833,5.793,24.792,19.784,3.137,NA,2.162,0.107,1.23,1.03,2.058,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,3.64,,0.2911,527674.4,,66.53,66.44,66.63,65.64,,66.34,1596.25,1596.25,866730,13065.4,67,67.2,67.2,67.1,67.3,66.3,12936,NA,32.33,580402400,29966000,32222020,12.16,180704600,1000,,,NA,NA,8.33,1.86,1,66.53,66.53,7852298,1000000,8146.44,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,3.67,4.12
42.53,523748.2,1.16,18.1,784.7,4.833,5.793,24.62,19.647,3.116,NA,2.162,0.107,1.23,1.03,2.043,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,3.64,,0.291,523748.2,,66.24,66.04,66.53,64.55,,64.55,1584.38,1584.38,565807,8599.1,65.2,66.7,66.9,66.7,67.2,65.2,8514,NA,32.33,580402400,29966000,32222020,12.16,180704600,1000,,,NA,NA,8.27,1.85,1,66.04,66.04,7852298,1000000,8081.55,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,3.67,4.12
